"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"FSv2 Series","Standard_F64s_v2","F64s_v2","F64s v2","Windows","Standard","Standard","64","128","32","1023","512","5.209","3854.660"
"Dv4 Series","Standard_D64_v4","D64_v4","D64 v4","Windows","Standard","Standard","64","256","32","1023","0","6.016","4451.840"
"FSv2 Series","Standard_F8s_v2","F8s_v2","F8s v2","Windows","Standard","Standard","8","16","16","1023","64","0.651","481.740"
"NC Series","Standard_NC24rs_v3","NC24","NC24","Linux","Standard","Standard","24","448","32","1023","1344","3.6","2664.0"
"NC Series","Standard_NC24s_v3","NC24","NC24","Linux","Standard","Standard","24","448","32","1023","1344","3.6","2664.0"
"NC Series","Standard_NC24","NC24","NC24","Linux","Standard","Standard","24","224","64","1023","1440","3.6","2664.0"
"NC Series","Standard_NC24r","NC24","NC24","Linux","Standard","Standard","24","224","64","1023","1440","3.6","2664.0"
"NC Series","Standard_NC24_Promo","NC24","NC24","Linux","Standard","Standard","24","224","64","1023","1440","3.6","2664.0"
"NC Series","Standard_NC24r_Promo","NC24","NC24","Linux","Standard","Standard","24","224","64","1023","1440","3.6","2664.0"
"Edsv4 Series","Standard_E8ds_v4","E8ds_v4_Low_Priority","E8ds v4","Linux","Low Priority","Low Priority","8","64","16","1023","300","0.115","85.100"
"Edv4 Series","Standard_E32d_v4","E32d_v4","E32d v4","Windows","Standard","Standard","32","256","32","1023","1200","3.776","2794.240"
"Ddsv4 Series","Standard_D48ds_v4","D48ds_v4","D48ds v4","Linux","Standard","Standard","48","192","32","1023","1800","2.712","2006.880"
"Edsv4 Series","Standard_E80ids_v4","E80ids_v4_Low_Priority","E80ids v4","Linux","Low Priority","Low Priority","80","504","32","1023","4260","1.152","852.480"
"NV Series","Standard_NV24","NV24","NV24","Windows","Standard","Standard","24","224","64","1023","1440","5.643","4175.820"
"NV Series","Standard_NV24_Promo","NV24","NV24","Windows","Standard","Standard","24","224","64","1023","1440","5.643","4175.820"
"NV Series","Standard_NV24s_v2","NV24","NV24","Windows","Standard","Standard","24","448","32","1023","1344","5.643","4175.820"
"NV Series","Standard_NV24s_v3","NV24","NV24","Windows","Standard","Standard","24","224","24","1023","672","5.643","4175.820"
"Eav4/Easv4 Series","Standard_E96-48as_v4","E96-48as_v4_Low_Priority","E96-48as_v4","Windows","Low Priority","Low Priority","96","672","32","1023","1344","4.186","3097.640"
