"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"Esv4 Series","Standard_E8-2s_v4","E8-2s_v4_Low_Priority","E8-2s v4","Linux","Low Priority","Low Priority","8","64","16","1023","0","0.101","74.740"
"Av2 Series","Standard_A1_v2","A1_v2","A1 v2","Linux","Standard","Standard","1","2","2","1023","10","0.043","31.820"
"Edsv4 Series","Standard_E80ids_v4","E80ids_v4","E80ids v4","Windows","Standard","Standard","80","504","32","1023","4260","9.44","6985.60"
"Eav4/Easv4 Series","Standard_E32-16as_v4","E32-16as_v4","E32-16as_v4","Linux","Standard","Standard","32","256","32","1023","512","2.016","1491.840"
"Edsv4 Series","Standard_E64-16ds_v4","E64-16ds_v4_Low_Priority","E64-16ds v4","Linux","Low Priority","Low Priority","64","504","32","1023","2400","0.922","682.280"
"Av2 Series","Standard_A8m_v2","A8m_v2","A8m v2","Linux","Standard","Standard","8","64","16","1023","80","0.524","387.760"
"FSv2 Series","Standard_F48s_v2","F48s_v2_Low_Priority","F48s v2","Windows","Low Priority","Low Priority","48","96","32","1023","384","1.696","1255.040"
"MSv2 Series","Standard_M208s_v2","M208s_v2_Low_Priority","M208s v2","Windows","Low Priority","Low Priority","208","2850","64","1023","4096","12.751","9435.740"
"Dv4 Series","Standard_D32_v4","D32_v4","D32 v4","Linux","Standard","Standard","32","128","32","1023","0","1.536","1136.640"
"Eav4/Easv4 Series","Standard_E96-48as_v4","E96-48as_v4","E96-48as_v4","Windows","Standard","Standard","96","672","32","1023","1344","10.464","7743.360"
"Eav4/Easv4 Series","Standard_E8-4as_v4","E8-4as_v4_Low_Priority","E8-4as_v4","Linux","Low Priority","Low Priority","8","64","16","1023","128","0.101","74.740"
"Eav4/Easv4 Series","Standard_E8-2as_v4","E8-2as_v4_Low_Priority","E8-2as_v4","Windows","Low Priority","Low Priority","8","64","16","1023","128","0.349","258.260"
"Esv4 Series","Standard_E8-4s_v4","E8-4s_v4","E8-4s v4","Windows","Standard","Standard","8","64","16","1023","0","0.872","645.280"
"LS Series","Standard_L16s_v2","L16s_Low_Priority","L16s","Linux","Low Priority","Low Priority","16","128","32","1023","3576","0.275","203.500"
"LS Series","Standard_L16s","L16s_Low_Priority","L16s","Linux","Low Priority","Low Priority","16","128","64","1023","2807","0.275","203.500"
"Ddsv4 Series","Standard_D16ds_v4","D16ds_v4_Low_Priority","D16ds v4","Windows","Low Priority","Low Priority","16","64","32","1023","600","0.656","485.440"
"Edv4 Series","Standard_E2d_v4","E2d_v4","E2d v4","Linux","Standard","Standard","2","16","4","1023","75","0.144","106.560"
"MSv2 Series","Standard_M208ms_v2","M208ms_v2","M208ms v2","Windows","Standard","Standard","208","5700","64","1023","4096","54.188","40099.120"
"NCSv3 Series","Standard_NC12s_v3","NC12s_v3_Low_Priority","NC12s v3","Windows","Low Priority","Low Priority","12","224","24","1023","672","2.67264","1977.75360"
"Ddsv4 Series","Standard_D4ds_v4","D4ds_v4","D4ds v4","Linux","Standard","Standard","4","16","8","1023","150","0.226","167.240"
"A Series","Standard_A4m_v2","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","4","32","8","1023","40","0.2368","175.2320"
"A Series","Standard_A4_v2","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","4","8","8","1023","40","0.2368","175.2320"
"A Series","Standard_A4","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","8","14","16","1023","605","0.2368","175.2320"
"A Series","Basic_A4","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","8","14","16","1023","240","0.2368","175.2320"
"Ddv4 Series","Standard_D2d_v4","D2d_v4_Low_Priority","D2d v4","Windows","Low Priority","Low Priority","2","8","4","1023","75","0.082","60.680"
"Av2 Series","Standard_A2m_v2","A2m_v2_Low_Priority","A2m v2","Linux","Low Priority","Low Priority","2","16","4","1023","20","0.024","17.760"
"A Series","Standard_A1_v2","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","2","2","1023","10","0.036","26.640"
"A Series","Standard_A1","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","1.75","2","1023","70","0.036","26.640"
"A Series","Basic_A1","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","1.75","2","1023","40","0.036","26.640"
"LS Series","Standard_L4s","L4s_Low_Priority","L4s","Linux","Low Priority","Low Priority","4","32","16","1023","678","0.0686","50.7640"
"Edv4 Series","Standard_E20d_v4","E20d_v4_Low_Priority","E20d v4","Windows","Low Priority","Low Priority","20","160","32","1023","750","0.944","698.560"
"Esv4 Series","Standard_E8s_v4","E8s_v4","E8s v4","Linux","Standard","Standard","8","64","16","1023","0","0.504","372.960"
"Edv4 Series","Standard_E20d_v4","E20d_v4_Low_Priority","E20d v4","Linux","Low Priority","Low Priority","20","160","32","1023","750","0.288","213.120"
"Edsv4 Series","Standard_E2ds_v4","E2ds_v4","E2ds v4","Linux","Standard","Standard","2","16","4","1023","75","0.144","106.560"
"A Series","Standard_A3","A3_Low_Priority","A3","Linux","Low Priority","Low Priority","4","7","8","1023","285","0.048","35.520"
"A Series","Basic_A3","A3_Low_Priority","A3","Linux","Low Priority","Low Priority","4","7","8","1023","120","0.048","35.520"
"LSv2 Series","Standard_L48s_v2","L48s_v2","L48s v2","Windows","Standard","Standard","48","384","32","1023","10728","5.952","4404.480"
"Ddsv4 Series","Standard_D8ds_v4","D8ds_v4_Low_Priority","D8ds v4","Windows","Low Priority","Low Priority","8","32","16","1023","300","0.328","242.720"
"Edsv4 Series","Standard_E8-4ds_v4","E8-4ds_v4","E8-4ds v4","Windows","Standard","Standard","8","64","16","1023","300","0.944","698.560"
"Ddsv4 Series","Standard_D64ds_v4","D64ds_v4_Low_Priority","D64ds v4","Linux","Low Priority","Low Priority","64","256","32","1023","2400","0.723","535.020"
"Ev4 Series","Standard_E20_v4","E20_v4","E20 v4","Linux","Standard","Standard","20","160","32","1023","0","1.26","932.40"
"Esv4 Series","Standard_E32s_v4","E32s_v4_Low_Priority","E32s v4","Linux","Low Priority","Low Priority","32","256","32","1023","0","0.403","298.220"
"FSv2 Series","Standard_F16s_v2","F16s_v2_Low_Priority","F16s v2","Linux","Low Priority","Low Priority","16","32","32","1023","128","0.135","99.900"
"Esv4 Series","Standard_E48s_v4","E48s_v4_Low_Priority","E48s v4","Windows","Low Priority","Low Priority","48","384","32","1023","0","2.093","1548.820"
"NCSv3 Series","Standard_NC12s_v3","NC12s_v3","NC12s v3","Linux","Standard","Standard","12","224","24","1023","672","6.12","4528.80"
"Edv4 Series","Standard_E2d_v4","E2d_v4","E2d v4","Windows","Standard","Standard","2","16","4","1023","75","0.236","174.640"
"A Series","Standard_A2m_v2","A2","A2","Linux","Standard","Standard","2","16","4","1023","20","0.12","88.80"
"A Series","Standard_A2_v2","A2","A2","Linux","Standard","Standard","2","4","4","1023","20","0.12","88.80"
"A Series","Standard_A2","A2","A2","Linux","Standard","Standard","2","3.5","4","1023","135","0.12","88.80"
"Ddv4 Series","Standard_D32d_v4","D32d_v4_Low_Priority","D32d v4","Linux","Low Priority","Low Priority","32","128","32","1023","1200","0.362","267.880"
"A Series","Standard_A2m_v2","A2_Low_Priority","A2","Windows","Low Priority","Low Priority","2","16","4","1023","20","0.044","32.560"
"A Series","Standard_A2_v2","A2_Low_Priority","A2","Windows","Low Priority","Low Priority","2","4","4","1023","20","0.044","32.560"
"A Series","Standard_A2","A2_Low_Priority","A2","Windows","Low Priority","Low Priority","2","3.5","4","1023","135","0.044","32.560"
"A Series","Basic_A2","A2_Low_Priority","A2","Windows","Low Priority","Low Priority","2","3.5","4","1023","60","0.044","32.560"
"Esv4 Series","Standard_E32-16s_v4","E32-16s_v4_Low_Priority","E32-16s v4","Linux","Low Priority","Low Priority","32","256","32","1023","0","0.403","298.220"
"NC Series","Standard_NC12s_v3","NC12_Low_Priority","NC12","Linux","Low Priority","Low Priority","12","224","24","1023","672","0.36","266.40"
"NC Series","Standard_NC12","NC12_Low_Priority","NC12","Linux","Low Priority","Low Priority","12","112","48","1023","680","0.36","266.40"
"NC Series","Standard_NC12_Promo","NC12_Low_Priority","NC12","Linux","Low Priority","Low Priority","12","112","48","1023","680","0.36","266.40"
"Dsv4 Series","Standard_D8s_v4","D8s_v4_Low_Priority","D8s v4","Linux","Low Priority","Low Priority","8","32","16","1023","0","0.0768","56.8320"
"Av2 Series","Standard_A2_v2","A2_v2_Low_Priority","A2 v2","Windows","Low Priority","Low Priority","2","4","4","1023","20","0.054","39.960"
"Edsv4 Series","Standard_E16-4ds_v4","E16-4ds_v4_Low_Priority","E16-4ds v4","Linux","Low Priority","Low Priority","16","128","32","1023","600","0.23","170.20"
"Esv4 Series","Standard_E64s_v4","E64s_v4_Low_Priority","E64s v4","Windows","Low Priority","Low Priority","64","504","32","1023","0","2.79","2064.60"
"FSv2 Series","Standard_F2s_v2","F2s_v2","F2s v2","Linux","Standard","Standard","2","4","4","1023","16","0.0846","62.6040"
"Edsv4 Series","Standard_E4ds_v4","E4ds_v4_Low_Priority","E4ds v4","Linux","Low Priority","Low Priority","4","32","8","1023","150","0.0576","42.6240"
"Edsv4 Series","Standard_E64ds_v4","E64ds_v4_Low_Priority","E64ds v4","Windows","Low Priority","Low Priority","64","504","32","1023","2400","3.021","2235.540"
"Ev4 Series","Standard_E4_v4","E4_v4","E4 v4","Linux","Standard","Standard","4","32","8","1023","0","0.252","186.480"
"Dsv4 Series","Standard_D32s_v4","D32s_v4_Low_Priority","D32s v4","Linux","Low Priority","Low Priority","32","128","32","1023","0","0.307","227.180"
"MS Series","Standard_M8ms","M8ms_Low_Priority","M8ms","Windows","Low Priority","Low Priority","8","218.75","8","1023","250","0.843","623.820"
"BS Series","Standard_B2s","B2s","B2s","Windows","Standard","Standard","2","4","4","1023","8","0.0496","36.7040"
"Ddv4 Series","Standard_D8d_v4","D8d_v4","D8d v4","Linux","Standard","Standard","8","32","16","1023","300","0.452","334.480"
"LS Series","Standard_L8s_v2","L8s","L8s","Windows","Standard","Standard","8","64","16","1023","1788","1.091","807.340"
"LS Series","Standard_L8s","L8s","L8s","Windows","Standard","Standard","8","64","32","1023","1388","1.091","807.340"
"Esv4 Series","Standard_E8-4s_v4","E8-4s_v4_Low_Priority","E8-4s v4","Linux","Low Priority","Low Priority","8","64","16","1023","0","0.101","74.740"
"NVasv4 Series","Standard_NV8as_v4","NV8as_v4","NV8as v4","Linux","Standard","Standard","8","28","16","1023","176","0.466","344.840"
"BS Series","Standard_B1s","B1s","B1s","Linux","Standard","Standard","1","1","2","1023","4","0.0104","7.6960"
"Dsv4 Series","Standard_D64s_v4","D64s_v4","D64s v4","Windows","Standard","Standard","64","256","32","1023","0","6.016","4451.840"
"LS Series","Standard_L16s_v2","L16s","L16s","Windows","Standard","Standard","16","128","32","1023","3576","2.182","1614.680"
"LS Series","Standard_L16s","L16s","L16s","Windows","Standard","Standard","16","128","64","1023","2807","2.182","1614.680"
"Ev4 Series","Standard_E48_v4","E48_v4","E48 v4","Windows","Standard","Standard","48","384","32","1023","0","5.232","3871.680"
"Esv4 Series","Standard_E32-8s_v4","E32-8s_v4","E32-8s v4","Windows","Standard","Standard","32","256","32","1023","0","3.488","2581.120"
"LSv2 Series","Standard_L32s_v2","L32s_v2","L32s v2","Linux","Standard","Standard","32","256","32","1023","7152","2.496","1847.040"
"NCSv3 Series","Standard_NC24rs_v3","NC24rs_v3_Low_Priority","NC24rs v3","Linux","Low Priority","Low Priority","24","448","32","1023","1344","2.6928","1992.6720"
"NC Promo Series","Standard_NC6s_v3","NC6","NC6","Linux","Standard","Standard","6","112","12","1023","336","0.396","293.040"
"NC Promo Series","Standard_NC6","NC6","NC6","Linux","Standard","Standard","6","56","24","1023","380","0.396","293.040"
"NC Promo Series","Standard_NC6_Promo","NC6","NC6","Linux","Standard","Standard","6","56","24","1023","380","0.396","293.040"
"NC Promo Series","Standard_NC64as_T4_v3","NC6","NC6","Linux","Standard","Standard","64","448","32","1023","2816","0.396","293.040"
"MS Series","Standard_M32ls","M32ls","M32ls","Linux","Standard","Standard","32","256","32","1023","1000","2.873","2126.020"
"MSv2 Series","Standard_M208s_v2","M208s_v2_Low_Priority","M208s v2","Linux","Low Priority","Low Priority","208","2850","64","1023","4096","4.462","3301.880"
"MS Series","Standard_M32ts","M32ts_Low_Priority","M32ts","Linux","Low Priority","Low Priority","32","192","32","1023","1000","0.541","400.340"
"NV Series","Standard_NV12","NV12","NV12","Linux","Standard","Standard","12","112","48","1023","680","2.403","1778.220"
"NV Series","Standard_NV12_Promo","NV12","NV12","Linux","Standard","Standard","12","112","48","1023","680","2.403","1778.220"
"NV Series","Standard_NV12s_v2","NV12","NV12","Linux","Standard","Standard","12","224","24","1023","672","2.403","1778.220"
"NV Series","Standard_NV12s_v3","NV12","NV12","Linux","Standard","Standard","12","112","12","1023","336","2.403","1778.220"
"Ev4 Series","Standard_E8_v4","E8_v4_Low_Priority","E8 v4","Linux","Low Priority","Low Priority","8","64","16","1023","0","0.101","74.740"
"Edsv4 Series","Standard_E64ds_v4","E64ds_v4_Low_Priority","E64ds v4","Linux","Low Priority","Low Priority","64","504","32","1023","2400","0.922","682.280"
"Edv4 Series","Standard_E48d_v4","E48d_v4_Low_Priority","E48d v4","Windows","Low Priority","Low Priority","48","384","32","1023","1800","2.266","1676.840"
"LSv2 Series","Standard_L32s_v2","L32s_v2_Low_Priority","L32s v2","Linux","Low Priority","Low Priority","32","256","32","1023","7152","0.499","369.260"
"Dsv4 Series","Standard_D4s_v4","D4s_v4","D4s v4","Linux","Standard","Standard","4","16","8","1023","0","0.192","142.080"
"Edsv4 Series","Standard_E80ids_v4","E80ids_v4","E80ids v4","Linux","Standard","Standard","80","504","32","1023","4260","5.76","4262.40"
"LSv2 Series","Standard_L48s_v2","L48s_v2","L48s v2","Linux","Standard","Standard","48","384","32","1023","10728","3.744","2770.560"
"NC Series","Standard_NC6s_v3","NC6","NC6","Windows","Standard","Standard","6","112","12","1023","336","1.084","802.160"
"NC Series","Standard_NC6","NC6","NC6","Windows","Standard","Standard","6","56","24","1023","380","1.084","802.160"
"NC Series","Standard_NC6_Promo","NC6","NC6","Windows","Standard","Standard","6","56","24","1023","380","1.084","802.160"
"NC Series","Standard_NC64as_T4_v3","NC6","NC6","Windows","Standard","Standard","64","448","32","1023","2816","1.084","802.160"
"LS Series","Standard_L16s_v2","L16s_Low_Priority","L16s","Windows","Low Priority","Low Priority","16","128","32","1023","3576","0.873","646.020"
"LS Series","Standard_L16s","L16s_Low_Priority","L16s","Windows","Low Priority","Low Priority","16","128","64","1023","2807","0.873","646.020"
"NV Promo Series","Standard_NV12","NV12","NV12","Linux","Standard","Standard","12","112","48","1023","680","1.442","1067.080"
"NV Promo Series","Standard_NV12_Promo","NV12","NV12","Linux","Standard","Standard","12","112","48","1023","680","1.442","1067.080"
"NV Promo Series","Standard_NV12s_v2","NV12","NV12","Linux","Standard","Standard","12","224","24","1023","672","1.442","1067.080"
"NV Promo Series","Standard_NV12s_v3","NV12","NV12","Linux","Standard","Standard","12","112","12","1023","336","1.442","1067.080"
"Ddsv4 Series","Standard_D32ds_v4","D32ds_v4_Low_Priority","D32ds v4","Windows","Low Priority","Low Priority","32","128","32","1023","1200","1.312","970.880"
"BS Series","Standard_B2ms","B2ms","B2ms","Linux","Standard","Standard","2","8","4","1023","16","0.0832","61.5680"
"Edv4 Series","Standard_E4d_v4","E4d_v4","E4d v4","Windows","Standard","Standard","4","32","8","1023","150","0.472","349.280"
"BS Series","Standard_B8ms","B8ms","B8ms","Linux","Standard","Standard","8","32","16","1023","64","0.333","246.420"
"NVasv4 Series","Standard_NV4as_v4","NV4as_v4","NV4as v4","Linux","Standard","Standard","4","14","8","1023","88","0.233","172.420"
"MSv2 Series","Standard_M416s_v2","M416s_v2_Low_Priority","M416s v2","Linux","Low Priority","Low Priority","416","5700","64","1023","8192","9.916","7337.840"
"Eav4/Easv4 Series","Standard_E96-24as_v4","E96-24as_v4_Low_Priority","E96-24as_v4","Linux","Low Priority","Low Priority","96","672","32","1023","1344","1.21","895.40"
"Edsv4 Series","Standard_E16ds_v4","E16ds_v4_Low_Priority","E16ds v4","Windows","Low Priority","Low Priority","16","128","32","1023","600","0.755","558.700"
"Edsv4 Series","Standard_E4-2ds_v4","E4-2ds_v4_Low_Priority","E4-2ds v4","Linux","Low Priority","Low Priority","4","32","8","1023","150","0.0576","42.6240"
"Edsv4 Series","Standard_E64-32ds_v4","E64-32ds_v4","E64-32ds v4","Linux","Standard","Standard","64","504","32","1023","2400","4.608","3409.920"
"BS Series","Standard_B1ls","B1ls","B1ls","Windows","Standard","Standard","1","0.5","2","1023","4","0.0098","7.2520"
"Dv4 Series","Standard_D48_v4","D48_v4_Low_Priority","D48 v4","Windows","Low Priority","Low Priority","48","192","32","1023","0","1.805","1335.700"
"Av2 Series","Standard_A8_v2","A8_v2","A8 v2","Linux","Standard","Standard","8","16","16","1023","80","0.4","296.0"
"Eav4/Easv4 Series","Standard_E16-8as_v4","E16-8as_v4","E16-8as_v4","Linux","Standard","Standard","16","128","32","1023","256","1.008","745.920"
"Edsv4 Series","Standard_E32ds_v4","E32ds_v4_Low_Priority","E32ds v4","Linux","Low Priority","Low Priority","32","256","32","1023","1200","0.461","341.140"
"Eav4/Easv4 Series","Standard_E32-8as_v4","E32-8as_v4_Low_Priority","E32-8as_v4","Linux","Low Priority","Low Priority","32","256","32","1023","512","0.403","298.220"
"Eav4/Easv4 Series","Standard_E32-8as_v4","E32-8as_v4","E32-8as_v4","Windows","Standard","Standard","32","256","32","1023","512","3.488","2581.120"
"NCasv3 T4 Series","Standard_NC64as_T4_v3","NC64as_T4_v3_Low_Priority","NC64as T4 v3","Windows","Low Priority","Low Priority","64","448","32","1023","2816","2.918","2159.320"
"Eav4/Easv4 Series","Standard_E4-2as_v4","E4-2as_v4_Low_Priority","E4-2as_v4","Windows","Low Priority","Low Priority","4","32","8","1023","64","0.174","128.760"
"Av2 Series","Standard_A4m_v2","A4m_v2","A4m v2","Linux","Standard","Standard","4","32","8","1023","40","0.249","184.260"
"Ddv4 Series","Standard_D64d_v4","D64d_v4","D64d v4","Linux","Standard","Standard","64","256","32","1023","2400","3.616","2675.840"
"Edsv4 Series","Standard_E8ds_v4","E8ds_v4","E8ds v4","Windows","Standard","Standard","8","64","16","1023","300","0.944","698.560"
"MS Series","Standard_M64ms","M64ms","M64ms","Windows","Standard","Standard","64","1750","64","1023","2000","14.641","10834.340"
"MS Series","Standard_M16ms","M16ms_Low_Priority","M16ms","Linux","Low Priority","Low Priority","16","437.5","16","1023","500","0.6146","454.8040"
"Ddv4 Series","Standard_D4d_v4","D4d_v4","D4d v4","Linux","Standard","Standard","4","16","8","1023","150","0.226","167.240"
"Edsv4 Series","Standard_E4-2ds_v4","E4-2ds_v4_Low_Priority","E4-2ds v4","Windows","Low Priority","Low Priority","4","32","8","1023","150","0.189","139.860"
"Esv4 Series","Standard_E16-8s_v4","E16-8s_v4_Low_Priority","E16-8s v4","Linux","Low Priority","Low Priority","16","128","32","1023","0","0.202","149.480"
"Ddsv4 Series","Standard_D16ds_v4","D16ds_v4","D16ds v4","Windows","Standard","Standard","16","64","32","1023","600","1.64","1213.60"
"Dsv4 Series","Standard_D64s_v4","D64s_v4_Low_Priority","D64s v4","Windows","Low Priority","Low Priority","64","256","32","1023","0","2.406","1780.440"
"Av2 Series","Standard_A2m_v2","A2m_v2","A2m v2","Windows","Standard","Standard","2","16","4","1023","20","0.18","133.20"
"Edv4 Series","Standard_E8d_v4","E8d_v4","E8d v4","Windows","Standard","Standard","8","64","16","1023","300","0.944","698.560"
"Dv4 Series","Standard_D48_v4","D48_v4","D48 v4","Windows","Standard","Standard","48","192","32","1023","0","4.512","3338.880"
"Eav4/Easv4 Series","Standard_E8-4as_v4","E8-4as_v4","E8-4as_v4","Linux","Standard","Standard","8","64","16","1023","128","0.504","372.960"
"A Series","Standard_A6","A6","A6","Linux","Standard","Standard","4","28","8","1023","285","0.44","325.60"
"BS Series","Standard_B12ms","B12ms","B12ms","Linux","Standard","Standard","12","48","16","1023","96","0.499","369.260"
"NV Series","Standard_NV24","NV24","NV24","Linux","Standard","Standard","24","224","64","1023","1440","4.807","3557.180"
"NV Series","Standard_NV24_Promo","NV24","NV24","Linux","Standard","Standard","24","224","64","1023","1440","4.807","3557.180"
"NV Series","Standard_NV24s_v2","NV24","NV24","Linux","Standard","Standard","24","448","32","1023","1344","4.807","3557.180"
"NV Series","Standard_NV24s_v3","NV24","NV24","Linux","Standard","Standard","24","224","24","1023","672","4.807","3557.180"
"Esv4 Series","Standard_E32-16s_v4","E32-16s_v4_Low_Priority","E32-16s v4","Windows","Low Priority","Low Priority","32","256","32","1023","0","1.395","1032.300"
"LSv2 Series","Standard_L64s_v2","L64s_v2","L64s v2","Linux","Standard","Standard","64","512","32","1023","14304","4.992","3694.080"
"LSv2 Series","Standard_L8s_v2","L8s_v2","L8s v2","Windows","Standard","Standard","8","64","16","1023","1788","0.992","734.080"
"NCSv3 Series","Standard_NC6s_v3","NC6s_v3","NC6s v3","Linux","Standard","Standard","6","112","12","1023","336","3.06","2264.40"
"Esv4 Series","Standard_E64-32s_v4","E64-32s_v4_Low_Priority","E64-32s v4","Windows","Low Priority","Low Priority","64","504","32","1023","0","2.79","2064.60"
"Eav4/Easv4 Series","Standard_E16-8as_v4","E16-8as_v4_Low_Priority","E16-8as_v4","Windows","Low Priority","Low Priority","16","128","32","1023","256","0.698","516.520"
"Esv4 Series","Standard_E16-8s_v4","E16-8s_v4","E16-8s v4","Windows","Standard","Standard","16","128","32","1023","0","1.744","1290.560"
"A Series","Standard_A1_v2","A1_Low_Priority","A1","Linux","Low Priority","Low Priority","1","2","2","1023","10","0.012","8.880"
"A Series","Standard_A1","A1_Low_Priority","A1","Linux","Low Priority","Low Priority","1","1.75","2","1023","70","0.012","8.880"
"A Series","Basic_A1","A1_Low_Priority","A1","Linux","Low Priority","Low Priority","1","1.75","2","1023","40","0.012","8.880"
"Ev4 Series","Standard_E2_v4","E2_v4","E2 v4","Linux","Standard","Standard","2","16","4","1023","0","0.126","93.240"
"Edsv4 Series","Standard_E2ds_v4","E2ds_v4","E2ds v4","Windows","Standard","Standard","2","16","4","1023","75","0.236","174.640"
"NV Series","Standard_NV6","NV6_Low_Priority","NV6","Linux","Low Priority","Low Priority","6","56","24","1023","380","0.2404","177.8960"
"NV Series","Standard_NV6_Promo","NV6_Low_Priority","NV6","Linux","Low Priority","Low Priority","6","56","24","1023","380","0.2404","177.8960"
"NV Series","Standard_NV6s_v2","NV6_Low_Priority","NV6","Linux","Low Priority","Low Priority","6","112","12","1023","336","0.2404","177.8960"
"Esv4 Series","Standard_E8s_v4","E8s_v4_Low_Priority","E8s v4","Linux","Low Priority","Low Priority","8","64","16","1023","0","0.101","74.740"
"Edsv4 Series","Standard_E64-32ds_v4","E64-32ds_v4_Low_Priority","E64-32ds v4","Windows","Low Priority","Low Priority","64","504","32","1023","2400","3.021","2235.540"
"BS Series","Standard_B1ms","B1ms","B1ms","Windows","Standard","Standard","1","2","2","1023","4","0.0246","18.2040"
"Eav4/Easv4 Series","Standard_E8-4as_v4","E8-4as_v4","E8-4as_v4","Windows","Standard","Standard","8","64","16","1023","128","0.872","645.280"
"A Series","Basic_A1","A1","A1","Windows","Basic","Basic","1","1.75","2","1023","40","0.035","25.900"
"Ddv4 Series","Standard_D64d_v4","D64d_v4_Low_Priority","D64d v4","Windows","Low Priority","Low Priority","64","256","32","1023","2400","2.624","1941.760"
"FSv2 Series","Standard_F4s_v2","F4s_v2","F4s v2","Linux","Standard","Standard","4","8","8","1023","32","0.169","125.060"
"FSv2 Series","Standard_F16s_v2","F16s_v2","F16s v2","Linux","Standard","Standard","16","32","32","1023","128","0.677","500.980"
"Esv4 Series","Standard_E20s_v4","E20s_v4_Low_Priority","E20s v4","Windows","Low Priority","Low Priority","20","160","32","1023","0","0.872","645.280"
"A Series","Basic_A2","A2","A2","Windows","Basic","Basic","2","3.5","4","1023","60","0.11","81.40"
"A Series","Standard_A1_v2","A1_Low_Priority","A1","Linux","Low Priority","Low Priority","1","2","2","1023","10","0.0048","3.5520"
"A Series","Standard_A1","A1_Low_Priority","A1","Linux","Low Priority","Low Priority","1","1.75","2","1023","70","0.0048","3.5520"
"A Series","Basic_A1","A1_Low_Priority","A1","Linux","Low Priority","Low Priority","1","1.75","2","1023","40","0.0048","3.5520"
"MSv2 Series","Standard_M208ms_v2","M208ms_v2","M208ms v2","Linux","Standard","Standard","208","5700","64","1023","4096","44.62","33018.80"
"NVasv4 Series","Standard_NV32as_v4","NV32as_v4_Low_Priority","NV32as v4","Windows","Low Priority","Low Priority","32","112","32","1023","704","1.334","987.160"
"NC Series","Standard_NC12s_v3","NC12","NC12","Linux","Standard","Standard","12","224","24","1023","672","1.8","1332.0"
"NC Series","Standard_NC12","NC12","NC12","Linux","Standard","Standard","12","112","48","1023","680","1.8","1332.0"
"NC Series","Standard_NC12_Promo","NC12","NC12","Linux","Standard","Standard","12","112","48","1023","680","1.8","1332.0"
"A Series","Basic_A0","A0","A0","Linux","Basic","Basic","1","0.75","1","1023","20","0.018","13.320"
"Ddsv4 Series","Standard_D2ds_v4","D2ds_v4","D2ds v4","Windows","Standard","Standard","2","8","4","1023","75","0.205","151.700"
"Esv4 Series","Standard_E64s_v4","E64s_v4","E64s v4","Linux","Standard","Standard","64","504","32","1023","0","4.032","2983.680"
"A Series","Standard_A7","A7","A7","Windows","Standard","Standard","8","56","16","1023","605","1.2","888.0"
"NVSv3 Series","Standard_NV24s_v3","NV24s_v3","NV24s v3","Linux","Standard","Standard","24","224","24","1023","672","2.28","1687.20"
"Eav4/Easv4 Series","Standard_E64-16as_v4","E64-16as_v4","E64-16as_v4","Linux","Standard","Standard","64","512","32","1023","864","4.032","2983.680"
"Ddsv4 Series","Standard_D4ds_v4","D4ds_v4_Low_Priority","D4ds v4","Linux","Low Priority","Low Priority","4","16","8","1023","150","0.0452","33.4480"
"Esv4 Series","Standard_E64-32s_v4","E64-32s_v4","E64-32s v4","Linux","Standard","Standard","64","504","32","1023","0","4.032","2983.680"
"Ev4 Series","Standard_E64_v4","E64_v4","E64 v4","Linux","Standard","Standard","64","504","32","1023","0","4.032","2983.680"
"LSv2 Series","Standard_L16s_v2","L16s_v2","L16s v2","Windows","Standard","Standard","16","128","32","1023","3576","1.984","1468.160"
"A Series","Standard_A5","A5","A5","Windows","Standard","Standard","2","14","4","1023","135","0.3","222.0"
"Esv4 Series","Standard_E80is_v4","E80is_v4","E80is v4","Linux","Standard","Standard","80","504","32","1023","0","5.04","3729.60"
"Av2 Series","Standard_A4m_v2","A4m_v2","A4m v2","Windows","Standard","Standard","4","32","8","1023","40","0.378","279.720"
"Eav4/Easv4 Series","Standard_E96-24as_v4","E96-24as_v4","E96-24as_v4","Linux","Standard","Standard","96","672","32","1023","1344","6.048","4475.520"
"MS Series","Standard_M8ms","M8ms_Low_Priority","M8ms","Linux","Low Priority","Low Priority","8","218.75","8","1023","250","0.3073","227.4020"
"Edv4 Series","Standard_E48d_v4","E48d_v4","E48d v4","Linux","Standard","Standard","48","384","32","1023","1800","3.456","2557.440"
"Av2 Series","Standard_A8m_v2","A8m_v2","A8m v2","Windows","Standard","Standard","8","64","16","1023","80","0.794","587.560"
"Esv4 Series","Standard_E64-16s_v4","E64-16s_v4","E64-16s v4","Linux","Standard","Standard","64","504","32","1023","0","4.032","2983.680"
"FSv2 Series","Standard_F32s_v2","F32s_v2_Low_Priority","F32s v2","Linux","Low Priority","Low Priority","32","64","32","1023","256","0.271","200.540"
